,L2_PCA,BCE_PCA,L2_ICA,BCE_ICA,L2_NMF,BCE_NMF,VAE,DAE
2,129.1688849139912,0.6502176141539324,129.16888491377162,0.6502176219935215,131.12742991534952,0.6486256526700971,1108.56201171875,0.0732603445649147
3,124.62698359154665,0.6645328392122875,124.62698357592372,0.6645330048303294,126.32183880901472,0.6587995289280719,1107.10205078125,0.07015129923820496
4,121.09070657820213,0.6705442299339137,121.09070651229378,0.6705442736361583,123.04549217526086,0.6645437128171293,1095.127685546875,0.07055387645959854
5,118.11113691310189,0.6777841684433964,118.11113641309014,0.6777836458029242,120.52781177891264,0.6717395115430036,1091.73779296875,0.06706765294075012
6,115.73166348599095,0.683324019621101,115.73148659560309,0.6834286375173613,117.97886562499964,0.687014675565252,1091.178955078125,0.06696738302707672
7,113.52767477386196,0.6945948653603019,113.52764741969082,0.6946941728433658,115.86634903546536,0.6936494896585269,1082.5509033203123,0.06897475570440292
8,111.34684577374031,0.6973186446398859,111.3468228975294,0.6972994557140496,114.01867692504257,0.6975770890556406,1083.711669921875,0.0634307786822319
9,109.37032282705002,0.6981597585661817,109.37016492064863,0.6983515039540208,112.06739296529804,0.7025141146197621,1076.623779296875,0.06382263451814651
10,107.57956870270996,0.7066113280948744,107.57905387467257,0.7067896868378059,110.4848806271436,0.7043851277782065,1074.3310546875,0.06391609460115433
12,104.25042643691914,0.7175563831693412,104.25022833563715,0.7175800647000259,107.43185854789915,0.712122285959131,1066.97119140625,0.061364226043224335
14,101.13437045618583,0.7262603275654608,101.13378262137381,0.7268770852942945,104.79167571139955,0.7251383932134636,1073.64404296875,0.06111007928848266
16,98.38249185395144,0.7359522949325512,98.35002141395692,0.7363930135573137,102.39902029806228,0.7312447402861058,1064.4029541015623,0.05875809863209725
18,95.85001944931696,0.7451509488570924,95.80863295769468,0.7450793433722659,100.28796465794457,0.7378896756836968,1066.2501220703123,0.0582844614982605
20,93.60527808762821,0.7507408488344863,93.51056360114427,0.7523316331223628,98.0408785919502,0.7468797562392808,1062.9034423828123,0.0578697919845581
25,88.1533291845295,0.7771416097474787,88.01965601738571,0.7758372417587376,93.0861258237617,0.7586188875465949,1065.3046875,0.05667141452431679
30,83.15716632225697,0.7969912986200248,82.98906497191808,0.7936415088336995,88.11212838574006,0.7704476874120381,1060.261962890625,0.05488773807883263
35,78.4531759905562,0.8110015138438317,78.32566972757381,0.8112025792894563,83.84543057152194,0.7824119183563606,1059.118896484375,0.054185066372156136
40,74.11714532419258,0.831121882728367,73.9706345081755,0.8273874564071044,79.99524607289605,0.7948011930088832,1057.8424072265623,0.053605761379003525
45,70.0385452479033,0.8423535455284429,69.81688197380889,0.8436068294186292,75.94589946524457,0.8046654359051458,1071.1759033203123,0.05308495461940765
50,66.06527283957426,0.8539723298536603,65.86189274382085,0.8529229515947541,72.10100301237017,0.813367863921535,1062.036865234375,0.05245073139667511
60,58.621336156290766,0.874504166476658,58.39501651236532,0.8774350566901146,65.16047645746924,0.8253789000862688,1064.12744140625,0.050344500690698624
78,46.10674709384621,0.8773780633237326,45.90097487804265,0.8761486151530502,52.70040087202842,0.8499888934440325,1060.4490966796877,0.04883551970124245
80,44.77766801395124,0.880539836126501,44.568385459300615,0.8758565961822664,51.58252869968931,0.8497504362913838,1061.615234375,0.04784417524933815
90,38.04726645098121,0.8764310696350214,37.8748649523214,0.8677502815339683,44.157161549361156,0.8393133270356052,1065.8876953125,0.04757094383239746
100,31.55784787185605,0.8721037055397362,31.451917722675308,0.8720552449110669,37.181124153680365,0.8493404595761787,1063.0062255859377,0.0468345619738102
125,16.152809116348344,0.8570335602762501,16.14692518717717,0.8553392515609771,20.596978427421448,0.8532771547982251,1065.0272216796877,0.04479451477527618
150,3.5718243562591514,0.8269273741190257,3.5718243562591514,0.8269273741190935,8.339319329139876,0.845755505081751,1058.2655029296877,0.04410691559314728
