dataset_id,num_comp,data_type,algorithm,reconstruction_cost
GEO,2,Training,NMF,131.79646456298167
GEO,2,Testing,NMF,43.15447121445157
GEO,3,Training,NMF,127.54691849351106
GEO,3,Testing,NMF,40.99617090690595
GEO,4,Training,NMF,124.16540826497764
GEO,4,Testing,NMF,40.43584386806268
GEO,5,Training,NMF,121.70648158855647
GEO,5,Testing,NMF,39.682631192014
GEO,6,Training,NMF,119.53498561711066
GEO,6,Testing,NMF,38.35190178948493
GEO,7,Training,NMF,117.36610058250409
GEO,7,Testing,NMF,37.33189524754773
GEO,8,Training,NMF,115.47041902187635
GEO,8,Testing,NMF,36.98856128459658
GEO,9,Training,NMF,113.45802432304082
GEO,9,Testing,NMF,36.4255355536611
GEO,10,Training,NMF,111.75038379232953
GEO,10,Testing,NMF,36.26373771897448
GEO,12,Training,NMF,108.7952890746132
GEO,12,Testing,NMF,35.63605830887053
GEO,14,Training,NMF,105.92052668983054
GEO,14,Testing,NMF,35.33575608148689
GEO,16,Training,NMF,103.41202053510946
GEO,16,Testing,NMF,35.10180503191923
GEO,18,Training,NMF,101.1240282701852
GEO,18,Testing,NMF,34.60642043013085
GEO,20,Training,NMF,99.11647044946524
GEO,20,Testing,NMF,34.45225192782998
GEO,25,Training,NMF,94.13307651540018
GEO,25,Testing,NMF,33.704250063081396
GEO,30,Training,NMF,89.32066250152006
GEO,30,Testing,NMF,33.33970567865244
GEO,35,Training,NMF,84.99739648886309
GEO,35,Testing,NMF,33.22162576399126
GEO,40,Training,NMF,80.87987207266539
GEO,40,Testing,NMF,33.13835322925617
GEO,45,Training,NMF,77.298660148923
GEO,45,Testing,NMF,32.46290649562175
GEO,50,Training,NMF,73.5106740086796
GEO,50,Testing,NMF,32.73303546954622
GEO,60,Training,NMF,66.37630206647732
GEO,60,Testing,NMF,32.3205505735491
GEO,78,Training,NMF,54.05761720943428
GEO,78,Testing,NMF,31.515618540787344
GEO,80,Training,NMF,52.863586580602195
GEO,80,Testing,NMF,31.771863047474913
GEO,90,Training,NMF,46.03298255482951
GEO,90,Testing,NMF,31.328746283254493
GEO,100,Training,NMF,39.127839739445136
GEO,100,Testing,NMF,30.781890811928587
GEO,125,Training,NMF,22.528755787319916
GEO,125,Testing,NMF,29.17939348483347
GEO,150,Training,NMF,8.223112845855809
GEO,150,Testing,NMF,28.914087292757973
